rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
185,Viktor Rashnikov,10.2,74.0,Steel,Russia,Manufacturing,Male,Russia,Married,Master of Science in Engineering,Magnitogorsk MiningÂ and Metallurgical Institute,Self Made,Steel,,
186,Judy Love,10.2,86.0,Gas stations,United States,Fashion & Retail,Female,United States,Widowed,Drop Out,St. John's University (MN),Self Made,Gas stations,,
187,David Sun,10.2,71.0,Computer hardware,United States,Technology,Male,United States,Married,Bachelor of Engineering,Tatung University,Self Made,Computer hardware,,
188,Changpeng Zhao,10.2,46.0,Cryptocurrency exchange,Canada,Finance & Investments,Male,Canada,no data,no data,no data,Self Made,Cryptocurrency exchange,,
189,Lei Jun,10.2,53.0,Smartphones,China,Technology,Male,China,Married,Bachelor of Science in Engineering,Wuhan University,Self Made,Smartphones,,
190,Leon Black,10.1,72.0,Private equity,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Dartmouth College,Self Made,Private equity,,
191,Marcel Herrmann Telles,10.1,73.0,Beer,Brazil,Food & Beverage,Male,Brazil,Married,Bachelor of Arts/Science,Universidade Federal do Rio de Janeiro,Self Made,Beer,,
192,Wang Xing,10.1,44.0,E-commerce,China,Technology,Male,China,no data,Graduate,Tsinghua University,Self Made,E-commerce,,
193,Gong Hongjia,10.0,58.0,Video surveillance ,Hong Kong,Finance & Investments,Male,Hong Kong,Married,Bachelor of Arts/Science,Huazhong University of Science and Technology,Self Made,Video surveillance ,,
194,Quek Leng Chan,10.0,82.0,"Banking, property",Malaysia,Diversified,Male,Malaysia,Married,LLB,Middle Temple,no data,Banking, property,
195,Autry Stephens,10.0,85.0,Oil,United States,Energy,Male,United States,Married,Master of Science,University of Texas,Self Made,Oil,,
196,Vincent BollorÃ©,9.9,71.0,Investments,France,Finance & Investments,Male,France,Married,LLB,Universite Paris X Nanterre,no data,Investments,,
197,Friedhelm Loh,9.9,77.0,Manufacturing,Germany,Manufacturing,Male,Germany,Married,no data,no data,no data,Manufacturing,,
198,Robert Pera,9.9,45.0,Wireless networking,United States,Technology,Male,United States,Single,Bachelor of Arts/Science,University of California,Self Made,Wireless networking,,
199,Jim Pattison,9.8,94.0,Diversified,Canada,Diversified,Male,Canada,Married,no data,no data,Self Made,Diversified,,
200,Michael Kim,9.8,59.0,Private equity ,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Harvard Business School,Self Made,Private equity ,,
201,Tanya SaadÃ© Zeenny,9.8,55.0,Shipping,France,Logistics,Female,France,Married,no data,no data,no data,Shipping,,
201,Jacques SaadÃ© Jr,9.8,52.0,Shipping,France,Logistics,Male,France,no data,no data,no data,no data,Shipping,,
201,Rodolphe SaadÃ©,9.8,53.0,Shipping,France,Logistics,Male,France,no data,Bachelor of Arts/Science,Concordia University,no data,Shipping,,
204,Carrie Perrodo,9.8,72.0,Oil ,France,Energy,Female,France,Widowed,no data,no data,no data,Oil ,,
205,Henry Samueli,9.8,68.0,Semiconductors,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,University of California,Self Made,Semiconductors,,
206,James Dyson,9.7,76.0,Vacuums,United Kingdom,Manufacturing,Male,United Kingdom,Married,no data,no data,Self Made,Vacuums,,
207,Andrei Guriev,9.6,63.0,Fertilizers,Russia,Manufacturing,Male,Russia,Married,Master,Saint Petersburg Mining University,Self Made,Fertilizers,,
208,Liu Yongxing,9.6,75.0,Diversified,China,Service,Male,China,Married,no data,no data,Self Made,Diversified,,
209,Ernesto Bertarelli,9.5,57.0,"Biotech, investments",Switzerland,Healthcare,Male,Switzerland,Divorced,Bachelor of Arts/Science,Babson College,no data,Biotech, investments,
210,Pamela Mars,9.5,63.0,"Candy, pet food",United States,Food & Beverage,Female,United States,Married,Bachelor of Arts/Science,Vassar College,no data,Candy, pet food,
210,Valerie Mars,9.5,64.0,"Candy, pet food",United States,Food & Beverage,Female,United States,Married,Master of Business Administration,Columbia University,no data,Candy, pet food,
210,Victoria Mars,9.5,66.0,"Candy, pet food",United States,Food & Beverage,Female,United States,Married,Master of Business Administration,The Wharton School,no data,Candy, pet food,
210,Marijke Mars,9.5,59.0,"Candy, pet food",United States,Food & Beverage,Female,United States,Divorced,Bachelor of Arts/Science,Duke University,no data,Candy, pet food,
214,Hasso Plattner,9.5,79.0,Software,Germany,Technology,Male,Germany,Married,Master of Science,University of Karlsruhe,Self Made,Software,,
215,Charles Schwab,9.4,86.0,Discount brokerage,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Stanford Graduate School of Business,Self Made,Discount brokerage,,
216,Daniel Kretinsky,9.4,48.0,"Energy, investments",Czech Republic,Energy,Male,Czech Republic,In Relationship,Law Degree,Masaryk University,Self Made,Energy, investments,
217,Liu Hanyuan,9.4,59.0,Agribusiness,China,Food & Beverage,Male,China,Married,Bachelor of Arts/Science,Sichuan University,Self Made,Agribusiness,,
218,Ann Walton Kroenke,9.4,74.0,Walmart,United States,Fashion & Retail,Female,United States,Married,Registered Nurse,Lincoln University,no data,Walmart,,
219,Manuel Villar,9.3,73.0,Real estate,Philippines,Real Estate,Male,Philippines,Married,no data,no data,Self Made,Real estate,,
220,Antonia Ax:son Johnson,9.3,79.0,Diversified,Sweden,Diversified,Female,Sweden,Married,Master of Arts,University of Stockholm,no data,Diversified,,
221,James Goodnight,9.3,80.0,Software,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,North Carolina State University,Self Made,Software,,
222,Roman Abramovich,9.2,56.0,"Steel, investments",Russia,Diversified,Male,Russia,Married,Master,Moscow State Law Academy,Self Made,Steel, investments,
223,Georg Schaeffler,9.2,58.0,Auto parts,Germany,Automotive,Male,Germany,Divorced,no data,no data,no data,Auto parts,,
224,John Malone,9.2,82.0,Cable television,United States,Media & Entertainment,Male,United States,Married,Doctorate,Johns Hopkins University,Self Made,Cable television,,
225,Azim Premji,9.2,78.0,Software services,India,Technology,Male,India,Married,Bachelor of Arts/Science,Stanford University,no data,Software services,,
226,Blair Parry-Okeden,9.2,73.0,"Media, automotive",United States,Media & Entertainment,Female,United States,Divorced,Diploma,High School,no data,Media, automotive,
226,Jim Kennedy,9.2,75.0,"Media, automotive",United States,Media & Entertainment,Male,United States,Married,Bachelor of Arts/Science,University of Denver,no data,Media, automotive,
228,Bernard Marcus,9.2,94.0,Home Depot,United States,Fashion & Retail,Male,United States,Married,Bachelor of Arts/Science,Rutgers University,Self Made,Home Depot,,
229,Stephen Ross,9.1,83.0,Real estate,United States,Real Estate,Male,United States,Married,Master of Laws,New York University,Self Made,Real estate,,
230,George Roberts,9.1,79.0,Private equity,United States,Finance & Investments,Male,United States,"Widowed, Remarried",Bachelor of Arts/Science,Claremont McKenna College,Self Made,Private equity,,
231,Patrick Ryan,9.1,86.0,Insurance,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Northwestern University,Self Made,Insurance,,
232,Andrew Beal,9.1,70.0,"Banks, real estate",United States,Finance & Investments,Male,United States,Divorced,Drop Out,Baylor University,Self Made,Banks, real estate,
233,Rocco Commisso,9.1,73.0,Telecom,United States,Telecom,Male,United States,Married,Bachelor of Arts/Science,Columbia University,Self Made,Telecom,,
234,Sun Piaoyang,9.0,64.0,Pharmaceuticals,China,Healthcare,Male,China,Married,Bachelor of Arts/Science,China Pharmaceutical University,Self Made,Pharmaceuticals,,
235,Melker Schorling,9.0,76.0,Investments,Sweden,Finance & Investments,Male,Sweden,Married,Master of Business Administration,Gothenburg University,Self Made,Investments,,
236,Nancy Walton Laurie,9.0,72.0,Walmart,United States,Fashion & Retail,Female,United States,Married,Bachelor of Arts/Science,University of Memphis,no data,Walmart,,
237,Georg Stumpf,8.9,50.0,"Real estate, construction",Austria,Diversified,Male,Austria,In Relationship,no data,no data,Self Made,Real estate, construction,
238,Jiang Rensheng,8.9,69.0,Vaccines,China,Healthcare,Male,China,Married,Associate in Arts/Science,Guilin Medical University,Self Made,Vaccines,,
239,Alexander Otto,8.9,56.0,Real estate,Germany,Real Estate,Male,Germany,Married,Master of Business Administration,Harvard Business School,no data,Real estate,,
240,Michael Otto,8.9,80.0,"Retail, real estate",Germany,Fashion & Retail,Male,Germany,Married,Doctorate,University of Hamburg,no data,Retail, real estate,
241,Finn Rausing,8.9,68.0,Packaging,Sweden,Food & Beverage,Male,Sweden,no data,no data,no data,no data,Packaging,,
242,Kirsten Rausing,8.9,71.0,Packaging,Sweden,Food & Beverage,Female,Sweden,no data,no data,no data,no data,Packaging,,
242,Jorn Rausing,8.9,63.0,Packaging,Sweden,Food & Beverage,Male,Sweden,no data,no data,no data,no data,Packaging,,
244,Nathan Blecharczyk,8.8,40.0,Airbnb,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Harvard University,Self Made,Airbnb,,
245,Tatyana Bakalchuk,8.8,47.0,Ecommerce,Russia,Fashion & Retail,Female,Russia,Married,Bachelor of Science,State University of Management,Self Made,Ecommerce,,
246,Jack Dangermond,8.7,78.0,Mapping software,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,California State Polytechnical University,Self Made,Mapping software,,
247,John Morris,8.7,75.0,Sporting goods retail,United States,Fashion & Retail,Male,United States,Married,Bachelor of Arts/Science,Drury University,Self Made,Sporting goods retail,,
248,Graeme Hart,8.7,68.0,Investments,New Zealand,Finance & Investments,Male,New Zealand,Married,no data,no data,Self Made,Investments,,
249,Chase Coleman III,8.5,48.0,Investments,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Williams College,Self Made,Investments,,
250,Francine von Finck,8.5,55.0,Investments,Germany,Finance & Investments,Female,Germany,Widowed,no data,no data,no data,Investments,,
251,Wang Liping,8.5,57.0,Hydraulic machinery,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Hydraulic machinery,,
252,Henry Nicholas III,8.5,63.0,Semiconductors,United States,Technology,Male,United States,Divorced,Bachelor of Arts/Science,University of California,Self Made,Semiconductors,,
253,Wu Yajun,8.5,59.0,Real estate,China,Real Estate,Female,China,Divorced,Bachelor of Engineering,Northwestern Polytechnical University,Self Made,Real estate,,
254,Jay Y. Lee,8.5,55.0,Samsung,South Korea,Technology,Male,South Korea,Divorced,Master of Business Administration,Keio University,no data,Samsung,,
255,Ivan Glasenberg,8.5,66.0,Mining,Switzerland,Metals & Mining,Male,Switzerland,Married,Master of Business Administration,Marshall School of Business,Self Made,Mining,,
256,Tilman Fertitta,8.4,66.0,"Houston Rockets, entertainment",United States,Food & Beverage,Male,United States,Married,Drop Out,Texas Tech University,Self Made,Houston Rockets, entertainment,
257,Nicky Oppenheimer,8.3,78.0,Diamonds,South Africa,Metals & Mining,Male,South Africa,Married,Bachelor of Arts/Science,Oxford U Christ Church,no data,Diamonds,,
258,Pei Zhenhua,8.3,64.0,Batteries,China,Energy,Male,China,no data,no data,no data,Self Made,Batteries,,
259,Carl Icahn,8.3,87.0,Investments,United States,Finance & Investments,Male,United States,Married,Drop Out,New York University,Self Made,Investments,,
260,Henry Kravis,8.3,79.0,Private equity,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Claremont McKenna College,Self Made,Private equity,,
261,Thierry Dassault,8.3,66.0,Diversified,France,Diversified,Male,France,no data,no data,no data,no data,Diversified,,
261,Laurent Dassault,8.3,70.0,Diversified,France,Diversified,Male,France,Married,Associate in Arts/Science,Ecole Superieure Libre Des Sciences Commerciales Appliquees,no data,Diversified,,
263,Karel Komarek,8.2,54.0,"Oil and gas, IT, lotteries",Czech Republic,Gambling & Casinos,Male,Czech Republic,Married,Diploma,Hahnemann Medical College,Self Made,Oil and gas, IT, lotteries
264,Marie-HÃ©lÃ¨ne Habert-Dassault,8.2,58.0,Diversified,France,Diversified,Female,France,Married,Master,Sciences Po,no data,Diversified,,
265,Jean-Michel Besnier,8.2,56.0,Cheese,France,Food & Beverage,Male,France,no data,no data,no data,no data,Cheese,,
265,Marie Besnier Beauvalot,8.2,43.0,Cheese,France,Food & Beverage,Female,France,Married,no data,no data,no data,Cheese,,
267,Carlos Alberto Sicupira,8.2,75.0,Beer,Brazil,Food & Beverage,Male,Brazil,Married,Bachelor of Arts/Science,Universidade Federal do Rio de Janeiro,Self Made,Beer,,
268,Francis Choi,8.2,75.0,Real estate,Hong Kong,Real Estate,Male,Hong Kong,Married,no data,no data,Self Made,Real estate,,
269,German Khan,8.2,61.0,"Oil, banking, telecom",Russia,Energy,Male,Russia,Married,Bachelor of Arts/Science,Moscow Institute of Steel and Alloys,Self Made,Oil, banking, telecom
270,Jay Chaudhry,8.1,63.0,Security software,United States,Technology,Male,United States,Married,Bachelor of Technology,Indian Institute of Technology,Self Made,Security software,,
271,Pavel Tykac,8.1,59.0,Coal mines,Czech Republic,Metals & Mining,Male,Czech Republic,Married,Master,Czech Technical University,Self Made,Coal mines,,
272,Joe Gebbia,8.0,41.0,Airbnb,United States,Technology,Male,United States,In Relationship,Bachelor of Arts/Science,Rhode Island School of Design,Self Made,Airbnb,,
273,Arthur Blank,8.0,80.0,Home Depot,United States,Sports,Male,United States,Divorced,Bachelor of Arts/Science,Babson College,Self Made,Home Depot,,
274,Marc Benioff,8.0,58.0,Business software,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,University of Southern California,Self Made,Business software,,
275,Pierre Omidyar,8.0,56.0,"EBay, PayPal",United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Tufts University,Self Made,EBay, PayPal,
276,Elisabeth DeLuca,8.0,76.0,Subway,United States,Food & Beverage,Female,United States,Widowed,no data,no data,no data,Subway,,
277,Eric Wittouck,8.0,76.0,Investments,Belgium,Finance & Investments,Male,Belgium,no data,no data,no data,no data,Investments,,
278,Leonid Fedun,8.0,67.0,Oil,Russia,Energy,Male,Russia,Married,Master of Science,Military Academy F.E.Dzerzhinsky,Self Made,Oil,,
279,Robert F. Smith,8.0,60.0,Private equity,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Columbia University,Self Made,Private equity,,
280,Joseph Tsai,7.9,59.0,E-commerce,Canada,Technology,Male,Canada,Married,Bachelor of Arts/Science,Yale University,Self Made,E-commerce,,
281,Wang Jianlin,7.9,68.0,Real estate,China,Real Estate,Male,China,Married,no data,Liaoning University,Self Made,Real estate,,
282,Robin Li,7.9,54.0,Internet search,China,Technology,Male,China,Married,Bachelor of Arts/Science,Peking University,Self Made,Internet search,,
283,David Shaw,7.9,72.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Doctorate,Stanford University,Self Made,Hedge funds,,
284,Andrei Skoch,7.9,57.0,Metals and mining,Russia,Metals & Mining,Male,Russia,Single,no data,State Central Institute of Physical Culture,Self Made,Metals and mining,,
285,Ramzi Musallam,7.9,54.0,Private equity,United States,Finance & Investments,Male,United States,no data,Bachelor of Arts/Science,Colgate University,Self Made,Private equity,,
286,Richard Liu,7.9,49.0,E-commerce,China,Technology,Male,China,Married,Bachelor of Arts/Science,Renmin University of China,Self Made,E-commerce,,
287,Reinhold Schmieding,7.9,68.0,Medical devices,United States,Healthcare,Male,United States,Married,Bachelor of Arts/Science,Michigan State University,Self Made,Medical devices,,
288,Orlando Bravo,7.9,52.0,Private equity,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Brown University,Self Made,Private equity,,
289,David Velez,7.8,41.0,Fintech,Colombia,Finance & Investments,Male,Colombia,Married,Master of Business Administration,Stanford Graduate School of Business,Self Made,Fintech,,
290,Zhang Congyuan,7.8,75.0,Shoes,Taiwan,Fashion & Retail,Male,Taiwan,Married,no data,no data,Self Made,Shoes,,
291,Harry Stine,7.8,81.0,Agriculture,United States,Food & Beverage,Male,United States,Married,no data,no data,Self Made,Agriculture,,
292,Steven Rales,7.8,72.0,"Manufacturing, investments",United States,Manufacturing,Male,United States,Married,Law Degree,American University,Self Made,Manufacturing, investments,
293,Enrique Razon Jr,7.8,63.0,Ports,Philippines,Logistics,Male,Philippines,Married,no data,no data,no data,Ports,,
